Date,Customers,Transaction_Volume,CAC,LTV,Is_Historical,LTV_CAC_Ratio,Churn_Rate
2024-01-31,35,120000.0,220.0,450,True,2.0454545454545454,9.0
2024-02-29,42,137096.688855701,218.5,485,True,2.219679633867277,8.92
2024-03-31,49,161368.67852577774,217.0,520,True,2.3963133640552994,8.84
2024-04-30,60,187820.17365360996,215.5,555,True,2.5754060324825985,8.76
2024-05-31,73,217105.00291970882,214.0,590,True,2.7570093457943927,8.68
2024-06-30,89,245189.94891340093,212.5,625,True,2.9411764705882355,8.6
2024-07-31,109,316520.51480219344,211.0,660,True,3.1279620853080567,8.52
2024-08-31,132,406433.1847845611,209.5,695,True,3.3174224343675416,8.44
2024-09-30,160,544877.4675900588,208.0,730,True,3.5096153846153846,8.36
2024-10-31,193,720370.5402883058,206.5,765,True,3.7046004842615012,8.28
2024-11-30,228,957779.5153491504,205.0,800,True,3.902439024390244,8.2
2024-12-31,270,1227337.8581348364,203.5,835,True,4.103194103194103,8.12
2025-01-31,319,1654320.9540501372,202.0,870,True,4.306930693069307,8.04
2025-02-28,390,2213929.7324446435,200.5,905,True,4.513715710723192,7.96
2025-03-31,468,2866737.3284635483,199.0,940,True,4.723618090452261,7.88
2025-04-30,568,3705910.8898850903,197.5,975,True,4.936708860759493,7.8
2025-05-31,706,4791143.592975306,196.0,1010,True,5.153061224489796,7.72
2025-06-30,845,6234700.578123153,194.5,1045,True,5.372750642673521,7.64
2025-07-31,1014,9127601.646372296,193.0,1080,False,5.595854922279793,7.5600000000000005
2025-08-31,1216,11135674.008574203,191.5,1115,False,5.822454308093994,7.48
2025-09-30,1459,13585522.290460527,190.0,1150,False,6.052631578947368,7.4
2025-10-31,1750,16574337.194361843,188.5,1185,False,6.286472148541114,7.32
2025-11-30,2100,20220691.377121445,187.0,1220,False,6.524064171122995,7.24
2025-12-31,2520,24669243.480088163,185.5,1255,False,6.765498652291105,7.16
2026-01-31,3024,30096477.04570756,184.0,1290,False,7.010869565217392,7.08
2026-02-28,3628,36717701.99576322,182.5,1325,False,7.260273972602739,7.0
2026-03-31,4353,44795596.43483113,181.0,1360,False,7.513812154696133,6.92
2026-04-30,5223,54650627.65049397,179.5,1395,False,7.77158774373259,6.84
2026-05-31,6267,66673765.73360264,178.0,1430,False,8.03370786516854,6.76
2026-06-30,7520,81341994.19499522,176.5,1465,False,8.30028328611898,6.68
2026-07-31,9024,99237232.91789418,175.0,1500,False,8.571428571428571,6.6
